TimeGenerated,EventID,AccountName,AccountDomain,LogonID,SourceIP,SourcePort,ShareName
2016-10-06 20:45:53,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205d85c,fe80::4888:72d0:4f06:d1a1,55664,\\*\SYSVOL
2016-10-06 20:45:56,5140,WIN7_64JP_03$,EXAMPLE,0x205da5f,192.168.16.103,49481,\\*\IPC$
2016-10-06 20:47:35,5140,urayasu.chiba,EXAMPLE,0x205dbd8,192.168.16.103,49487,\\*\IPC$
2016-10-06 20:47:35,5140,urayasu.chiba,EXAMPLE,0x205dbd8,192.168.16.103,49487,\\*\SYSVOL
2016-10-06 20:49:18,5140,LOCAL SERVICE,NT AUTHORITY,0x3e5,fe80::4888:72d0:4f06:d1a1,55665,\\*\IPC$
2016-10-06 20:50:57,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205e965,fe80::4888:72d0:4f06:d1a1,55673,\\*\IPC$
2016-10-06 20:50:57,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205e965,fe80::4888:72d0:4f06:d1a1,55673,\\*\SYSVOL
2016-10-06 20:51:01,5140,WIN7_64JP_02$,EXAMPLE,0x205ebe7,192.168.16.102,49608,\\*\IPC$
2016-10-06 20:53:57,5140,WIN7_64JP_01$,EXAMPLE,0x205ee02,192.168.16.101,50222,\\*\IPC$
2016-10-06 20:54:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205ee48,fe80::4888:72d0:4f06:d1a1,55676,\\*\SYSVOL
2016-10-06 20:56:01,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205f415,fe80::4888:72d0:4f06:d1a1,55682,\\*\SYSVOL
2016-10-06 21:00:35,5140,yokohama.kanagawa,EXAMPLE,0x205fa12,192.168.16.102,49616,\\*\IPC$
2016-10-06 21:00:35,5140,yokohama.kanagawa,EXAMPLE,0x205fa12,192.168.16.102,49616,\\*\SYSVOL
2016-10-06 21:00:56,5140,WIN7_64JP_03$,EXAMPLE,0x205fd87,192.168.16.103,49488,\\*\IPC$
2016-10-06 21:01:05,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205ff4b,fe80::4888:72d0:4f06:d1a1,55690,\\*\SYSVOL
2016-10-06 21:04:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2060972,fe80::4888:72d0:4f06:d1a1,55691,\\*\IPC$
2016-10-06 21:04:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2060972,fe80::4888:72d0:4f06:d1a1,55691,\\*\SYSVOL
2016-10-06 21:04:18,5140,LOCAL SERVICE,NT AUTHORITY,0x3e5,fe80::4888:72d0:4f06:d1a1,55692,\\*\IPC$
2016-10-06 21:06:01,5140,WIN7_64JP_02$,EXAMPLE,0x2061560,192.168.16.102,49619,\\*\IPC$
2016-10-06 21:06:09,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2061727,fe80::4888:72d0:4f06:d1a1,55700,\\*\IPC$
2016-10-06 21:06:09,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2061727,fe80::4888:72d0:4f06:d1a1,55700,\\*\SYSVOL
2016-10-06 21:08:57,5140,WIN7_64JP_01$,EXAMPLE,0x2061b16,192.168.16.101,50232,\\*\IPC$
2016-10-06 21:11:13,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2062162,fe80::4888:72d0:4f06:d1a1,55706,\\*\SYSVOL
2016-10-06 21:14:02,5140,WIN7_64JP_03$,EXAMPLE,0x20625d2,192.168.16.103,49493,\\*\IPC$
2016-10-06 21:14:02,5140,WIN7_64JP_03$,EXAMPLE,0x20625d2,192.168.16.103,49493,\\*\SYSVOL
2016-10-06 21:14:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2062649,fe80::4888:72d0:4f06:d1a1,55709,\\*\SYSVOL
2016-10-06 21:15:56,5140,WIN7_64JP_03$,EXAMPLE,0x2062c13,192.168.16.103,49496,\\*\IPC$
2016-10-06 21:16:17,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2062df1,fe80::4888:72d0:4f06:d1a1,55715,\\*\SYSVOL
2016-10-06 21:18:09,5140,WIN7_64JP_02$,EXAMPLE,0x206317e,192.168.16.102,49626,\\*\IPC$
