TimeGenerated,EventID,ProviderName,Code,ProcessID,ProviderPath
2021-08-26 15:52:12,5857,CIMWin32,0x0,9336,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 15:52:12,5857,CIMWin32a,0x0,9336,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 16:09:11,5857,CIMWin32,0x0,12808,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 16:09:11,5857,CIMWin32a,0x0,12808,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 16:24:51,5857,CIMWin32,0x0,11612,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 16:25:30,5857,CIMWin32a,0x0,11612,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 17:08:15,5857,CIMWin32,0x0,2676,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 17:11:02,5857,CIMWin32,0x0,4396,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 17:11:40,5857,Win32_DeviceGuard,0x0,4396,%SystemRoot%\System32\Win32_DeviceGuard.dll
2021-08-26 17:27:23,5857,CIMWin32,0x0,14640,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 17:27:23,5857,CIMWin32a,0x0,14640,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 17:31:46,5857,CIMWin32,0x0,5840,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 17:35:02,5857,CIMWin32,0x0,1424,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 18:07:57,5857,CIMWin32,0x0,1276,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 18:21:32,5857,Win32_DeviceGuard,0x0,4392,%SystemRoot%\System32\Win32_DeviceGuard.dll
2021-08-26 18:22:06,5857,CIMWin32,0x0,4392,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 18:22:06,5857,CIMWin32a,0x0,4392,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 18:33:32,5857,CIMWin32,0x0,4784,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 18:33:32,5857,CIMWin32a,0x0,4784,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 23:10:26,5857,CIMWin32,0x0,6200,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 23:14:25,5857,CIMWin32,0x0,17144,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 23:23:46,5857,CIMWin32,0x0,10656,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 23:23:46,5857,CIMWin32a,0x0,10656,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 23:58:43,5857,CIMWin32,0x0,16784,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 23:58:43,5857,CIMWin32a,0x0,16784,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 23:58:45,5857,UserProfileProvider,0x0,16784,%systemroot%\system32\profprov.dll
2021-08-27 00:00:44,5857,CIMWin32,0x0,5956,%systemroot%\system32\wbem\cimwin32.dll
2021-08-27 00:04:45,5857,WMIProv,0x0,5732,%systemroot%\system32\wbem\wmiprov.dll
2021-08-27 00:15:51,5857,CIMWin32,0x0,14108,%systemroot%\system32\wbem\cimwin32.dll
2021-08-27 00:15:51,5857,CIMWin32a,0x0,14108,%systemroot%\system32\wbem\wmipcima.dll
2021-08-27 00:31:15,5857,CIMWin32,0x0,15032,%systemroot%\system32\wbem\cimwin32.dll
