"TimeCreated","LogonUsername","AccountDomain","LogonID","LogonType","AuthPackage","SourceWorkstation","ProcessName","SourceIP","EventID"
"8/8/2018 5:23:36 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/8/2018 5:21:53 AM","BASE-RD-01$","SHIELDBASE","44743532","3","Kerberos","-","-","127.0.0.1","4624"
"8/8/2018 5:20:58 AM","BASE-RD-01$","SHIELDBASE","44723322","3","Kerberos","-","-","-","4624"
"8/8/2018 5:15:35 AM","tdungan","shieldbase","44305318","7","Negotiate","BASE-RD-01","C:\Windows\System32\lsass.exe","-","4624"
"8/8/2018 5:15:34 AM","tdungan","shieldbase","44305160","1","Negotiate","BASE-RD-01","C:\Windows\System32\svchost.exe","127.0.0.1","4624"
"8/8/2018 3:45:53 AM","BASE-RD-01$","SHIELDBASE","42588171","3","Kerberos","-","-","127.0.0.1","4624"
"8/8/2018 2:09:53 AM","BASE-RD-01$","SHIELDBASE","40863607","3","Kerberos","-","-","127.0.0.1","4624"
"8/8/2018 1:20:48 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/8/2018 12:33:53 AM","BASE-RD-01$","SHIELDBASE","39141377","3","Kerberos","-","-","127.0.0.1","4624"
"8/7/2018 11:41:03 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 10:57:52 PM","BASE-RD-01$","SHIELDBASE","37370643","3","Kerberos","-","-","127.0.0.1","4624"
"8/7/2018 9:37:43 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 9:21:52 PM","BASE-RD-01$","SHIELDBASE","35501666","3","Kerberos","-","-","127.0.0.1","4624"
"8/7/2018 9:20:58 PM","BASE-RD-01$","SHIELDBASE","35488558","3","Kerberos","-","-","-","4624"
"8/7/2018 9:20:47 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 9:20:47 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 9:01:17 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 9:01:16 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 8:58:49 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
